defect_logs	detected_by	FOREIGN KEY	user_table	employee_no
defect_logs	line_id	FOREIGN KEY	lines	line_id
defect_logs	model_id	FOREIGN KEY	product_models	model_id
defect_logs	defect_id	PRIMARY KEY	defect_logs	defect_id
environment_logs	line_id	FOREIGN KEY	lines	line_id
equipment	line_id	FOREIGN KEY	lines	line_id
face_embedding_table	employee_no	FOREIGN KEY	user_table	employee_no
face_embedding_table	employee_no	PRIMARY KEY	face_embedding_table	employee_no
items	id	PRIMARY KEY	items	id
lines	current_model_id	FOREIGN KEY	product_models	model_id
lines	line_id	PRIMARY KEY	lines	line_id
ml_predictions	line_id	FOREIGN KEY	lines	line_id
notifications	line_id	FOREIGN KEY	lines	line_id
product_models	model_id	PRIMARY KEY	product_models	model_id
production_logs	line_id	FOREIGN KEY	lines	line_id
production_logs	model_id	FOREIGN KEY	product_models	model_id
production_logs	log_id	PRIMARY KEY	production_logs	log_id
user_table	line_id	FOREIGN KEY	lines	line_id
user_table	employee_no	PRIMARY KEY	user_table	employee_no
vector_table	employee_no	FOREIGN KEY	user_table	employee_no
